ID,Discount Category
2163,10%Tuition Fee+70%ADM+100%SECURITY
2164,61.9%Tuition Fee (MD SPECIAL INACTIVE)
2168,20%Tuition Fee+50%ADM+50%SECURITY
2169,0%Tuition Fee+50%ADM+80%SECURITY
2151,10%Tuition Fee+60%ADM+100%SECURITY
2152,50%Tuition Fee(SCHOLARSHIP/REGULAR)
2153,10%Tuition Fee+75%ADM+100%SECURITY
2154,0%Tuition Fee+70%ADM+50%SECURITY
2155,50%Tuition Fee+10%ADM+50%SECURITY
2156,20%Tuition Fee+50%ADM+100%SECURITY
2143,0%Tuition Fee+0%ADM+25%SECURITY
2144,10%Tuition Fee+50%ADM+60%SECURITY
2145,10%Tuition Fee+50%ADM+100%SECURITY
2147,25%Tuition Fee(SCHOLARSHIP MD 25%)
2148,0%Tuition Fee+60%ADM+80%SECURITY
2149,15%Tuition Fee+50%ADM+70%SECURITY
2137,15%Tuition Fee+0%ADM+100%SECURITY
2138,20%Tuition Fee+60%ADM+100%SECURITY
2139,30%Tuition Fee+50% ADM+ 50% SEC
2140,0%Tuition Fee+30%ADM+50%SECURITY
2141,30%Tuition Fee+50%ADM+50%SECURITY
2142,20%Tuition Fee+20%ADM+100%SECURITY
2127,10%Tuition Fee+55%ADM+100%SECURITY
2129,0%Tuition Fee+60%ADM+100%SECURITY
2130,10%Tuition Fee+50%ADM+70%SECURITY
2131,30%Tuition Fee+0%ADM+0%SECURITY (CDA)
2132,15%Tuition Fee+60%ADM+100%SECURITY
2136,15%Tuition Fee+50%ADM+50%SECURITY
2115,20%Tuition Fee+100%ADM+50%SECURITY
2116,20%Tuition Fee+75%ADM+100%SECURITY
2118,0%Tuition Fee+30%ADM+50%SECURITY
2120,10%Tuition Fee+0%ADM+50%SECURITY
2121,10%Tuition Fee+20ADM+50%SECURITY
2123,0%Tuition Fee+40%ADM+50%SECURITY
2104,0%Tuition Fee+50%ADM+70%SECURITY
2106,50%Tuition Fee+75%ADM+100%SECURITY
2108,10%Tuition Fee+50%ADM+100%SECURITY
2109,100%Tuition Fee+100%ADM+100%SECURITY(CHAIRTY BY MD)
2110,15%Tuition Fee+50%ADM+100%SECURITY
2113,0%Tuition Fee+20ADM+70%SECURITY
98,10%Tuition Fee+100%ADM+50%SECURITY
99,10%Tuition Fee+30%ADM+100%SECURITY
2099,15%Tuition Fee+100%ADM+50%SECURITY
2100,10%Tuition Fee+50%ADM+0%SEC
2101,10%Tuition Fee+100%ADM+70%SEC
2103,0%Tuition Fee+50%ADM+60%SECURITY
90,10%Tuition Fee+100%ADM+100%SECURITY
93,10%Tuition Fee (REGULAR)
94,20%Tuition Fee(REGULAR)
95,15%Tuition Fee+0%ADM+50%SECURITY
96,0%Tuition Fee+20%ADM+50%SECURITY
97,20%Tuition Fee+50%ADM+100%SECURITY
82,HAMNA ZEESHAN (34% Tuition Fee)
83,ABDUR RAFAY (38% TUITION FEE)
84,ABDUL MOIZ (41% TUITION FEE)
86,10%Tuition Fee+100%ADM+50%SECURITY(SIBLING)
87,0%Tuition Fee+100%ADM+50%SECURITY
89,0%Tuition Fee+50%ADM+50%SECURITY
71,0%Tuition Fee+50%ADM+50%SECURITY
74,0%Tuition Fee+50%ADM+100%SECURITY
76,0%Tuition Fee+30%ADM+100%SECURITY(PWD )
79,20%Tuition Fee+50%ADM+100%SECURITY
80,15%Tuition Fee+100%ADM+100%SECURITY
81,6.5%Tuition Fee+0%ADM+0%SECURITY(NEED BASE)
61,20%Tuition Fee+100%ADM+100%SECURITY(SHIFA/SC)
66,10%Tuition Fee+33.33333333%ADM+33.33333333%SECURITY
67,0%Tuition Fee+100%ADM+100%SECURITY(SHFIA)
68,0%Tuition Fee+100%ADM+33.33333333%SECURITY
69,9%Tuition Fee+0%ADM+33.33333333%SECURITY
70,8.9%Tuition Fee+50%ADM+50%SECURITY(S.COURT)
50,0%Tuition Fee+33.33333333%ADM+33.33333333%SECURITY
51,25%Tuition Fee+100%ADM+100%SECURITY(SHIFA)
52,15%Tuition Fee+100%ADM+100%SEC(SHIFA)
53,50%Tuition Fee+100%ADM+100%SECURITY(SHIFA)
54,5.555556%Tuition Fee+100%ADM+100%SECURITY(SHIFA)
55,0%Tuition Fee+100%ADM+100%SECURITY(SHIFA)
42,15%Tuition Fee (REGULAR)
43,5%Tuition Fee
44,50%Tuition Fee+0%ADM+0%SECURITY (MD SPECIAL)
47,0%Tuition Fee+50%ADM+50%SECURITY
48,10%Tuition Fee+50%ADM+50%SECURITY(SHIFA CONCESSION
49,0%Tuition Fee+33.34%ADM+33.34%SECURITY(A.P 18-19 ISB)
21,30%Tuition Fee+50%ADM+50%SECURITY
28,10%Tuition Fee+50%ADM+50%SECURITY
30,50%Tuition Fee+0%ADM+100%SECURITY
39,25%Tuition Fee (REGULAR)
40,20%Tuition Fee(OLD SIBLING REGULAR)
41,37%Tuition Fee+0%ADM+0%SECURITY
2,100%Tuition Fee+100%ADM+100%SECURITY(CHARITY)
38,50%Tuition Fee+50%ADM+50%SECURITY (STAFF)
85,100%Tuition Fee+0%ADM+0%SECURITY(STAFF)
2111,50%Tuition Fee+0%ADM+0%SECURITY (STAFF)
2150,100%Tuition Fee+100%ADM+100%SECURITY(100%SCHOLARSHIP))
13,0%Tuition Fee+50%ADM+50% SECURITY
14,50%Tuition Fee+0%ADM+0%SECURITY (HAFLF MONTH)
34,20%Tuition Fee+100%ADM+100%SECURITY
75,100%Tuition Fee+50%ADM+50%SECURITY
2161,10%Tuition Fee+30%ADM+50%SECURITY
77,15%Tuition Fee+50%ADM+100%SECURITY
78,10%Tuition Fee+50%ADM+50%SECURITY
4,50%Tuition Fee+50%ADM+50%SECURITY
60,0%Tuition Fee+100%ADM+100%SECURITY
65,50%Tuition Fee (MD CHARITY ACCOUNT)
88,30%Tuition Fee+100%ADM+100% SECURITY
91,20%Tuition Fee+100%ADM+100%SECURITY
15,10%Tuition Fee (SIBLING)
17,0%Tuition Fee+0%ADM+100%SECURITY
18,0%Tuition Fee+0%ADM+50%SECURITY
22,10%Tuition Fee+0%ADM+50%SECURITY
29,0%Tuition Fee+100%ADM+0%SECURITY
33,100%Tuition Fee+100%ADM+100%SECURITY(CHAIRTY BY MD)
2165,25%Tuition Fee+70%ADM+100%SECURITY
2166,20%Tuition Fee+16.5%ADM+100%SECURITY
2176,15%Tuition Fee+20%ADM+50%SECURITY
2236,20%Tuition Fee+50%ADM+60%SECURITY
2264,30%Tuition Fee+60%ADM+60%SEC
57,10%Tuition Fee+100%ADM+100%SECURITY
58,0%Tuition Fee+25%ADM+0%SECURITY(SHRT PRD)
62,0%Tuition Fee+50%ADM+100%SECURITY
63,10%Tuition Fee+50%ADM+100%SECURITY
92,0%Tuition Fee+50%ADM+0%SECURITY
2122,0%Tuition Fee+0%ADM+70%SECURITY
35,50%Tuition Fee+50%ADM+100%SECURITY
36,10%Tuition Fee+0%ADM+100%SECURITY
37,100%Tuition Fee+50%ADM+100%SECURITY
45,LATE SITTING CARE POLICY
46,0%Tuition Fee+100%ADM+50%SECURITY (ADM PLCY FEB-MAR 2018
56,0%Tuition Fee+25%ADM+25%SECURITY (Temp adm RWP)
