ScaleNo,InitialBasic,HouseRent,Medical,GrossPay
1512VF,125500,0,0,125500
1513VF,126000,0,0,126000
1514VF,126500,0,0,126500
1515VF,127000,0,0,127000
1516VF,127500,0,0,127500
1517VF,128000,0,0,128000
1518VF,128500,0,0,128500
1519VF,129000,0,0,129000
1520VF,129500,0,0,129500
1521VF,130000,0,0,130000
1522VF,130500,0,0,130500
1523VF,131000,0,0,131000
1524VF,131500,0,0,131500
1525VF,132000,0,0,132000
1526VF,132500,0,0,132500
1527VF,133000,0,0,133000
1528VF,133500,0,0,133500
1529VF,134000,0,0,134000
1530VF,134500,0,0,134500
1531VF,135000,0,0,135000
1532VF,135500,0,0,135500
1533VF,136000,0,0,136000
1534VF,136500,0,0,136500
1535VF,137000,0,0,137000
1536VF,137500,0,0,137500
1537VF,138000,0,0,138000
1538VF,138500,0,0,138500
1539VF,139000,0,0,139000
1540VF,139500,0,0,139500
1541VF,140000,0,0,140000
1542VF,140500,0,0,140500
1543VF,141000,0,0,141000
1544VF,141500,0,0,141500
1545VF,142000,0,0,142000
1546VF,142500,0,0,142500
1547VF,143000,0,0,143000
1548VF,143500,0,0,143500
1549VF,144000,0,0,144000
1550VF,144500,0,0,144500
1551VF,145000,0,0,145000
1552VF,145500,0,0,145500
1553VF,146000,0,0,146000
1554VF,146500,0,0,146500
1555VF,147000,0,0,147000
1556VF,147500,0,0,147500
1557VF,148000,0,0,148000
1558VF,148500,0,0,148500
1559VF,149000,0,0,149000
1560VF,149500,0,0,149500
1561VF,150000,0,0,150000
1562VF,150500,0,0,150500
1563VF,151000,0,0,151000
1564VF,151500,0,0,151500
1565VF,152000,0,0,152000
1566VF,152500,0,0,152500
1567VF,153000,0,0,153000
1568VF,153500,0,0,153500
1569VF,154000,0,0,154000
1570VF,154500,0,0,154500
1571VF,155000,0,0,155000
1572VF,155500,0,0,155500
1573VF,156000,0,0,156000
1574VF,156500,0,0,156500
1575VF,157000,0,0,157000
1576VF,157500,0,0,157500
1577VF,158000,0,0,158000
1578VF,158500,0,0,158500
1579VF,159000,0,0,159000
1580VF,159500,0,0,159500
1581VF,160000,0,0,160000
1582VF,160500,0,0,160500
1583VF,161000,0,0,161000
1584VF,161500,0,0,161500
1585VF,162000,0,0,162000
1586VF,162500,0,0,162500
1587VF,163000,0,0,163000
1588VF,163500,0,0,163500
1589VF,164000,0,0,164000
1590VF,164500,0,0,164500
1591VF,165000,0,0,165000
1592VF,165500,0,0,165500
1593VF,166000,0,0,166000
1594VF,166500,0,0,166500
1595VF,167000,0,0,167000
1596VF,167500,0,0,167500
1597VF,168000,0,0,168000
1598VF,168500,0,0,168500
1599VF,169000,0,0,169000
1600VF,169500,0,0,169500
1601VF,170000,0,0,170000
1602VF,170500,0,0,170500
1603VF,171000,0,0,171000
1604VF,171500,0,0,171500
1605VF,172000,0,0,172000
1606VF,172500,0,0,172500
1607VF,173000,0,0,173000
1608VF,173500,0,0,173500
1609VF,174000,0,0,174000
1610VF,174500,0,0,174500
1611VF,175000,0,0,175000
1612VF,175500,0,0,175500
1613VF,176000,0,0,176000
1614VF,176500,0,0,176500
1615VF,177000,0,0,177000
1616VF,177500,0,0,177500
1617VF,178000,0,0,178000
1618VF,178500,0,0,178500
1619VF,179000,0,0,179000
1620VF,179500,0,0,179500
1621VF,180000,0,0,180000
1622VF,180500,0,0,180500
1623VF,181000,0,0,181000
1624VF,181500,0,0,181500
1625VF,182000,0,0,182000
1626VF,182500,0,0,182500
1627VF,183000,0,0,183000
1628VF,183500,0,0,183500
1629VF,184000,0,0,184000
1630VF,184500,0,0,184500
1631VF,185000,0,0,185000
1632VF,185500,0,0,185500
1633VF,186000,0,0,186000
1634VF,186500,0,0,186500
1635VF,187000,0,0,187000
1636VF,187500,0,0,187500
1637VF,188000,0,0,188000
1638VF,188500,0,0,188500
1639VF,189000,0,0,189000
1640VF,189500,0,0,189500
1641VF,190000,0,0,190000
1642VF,190500,0,0,190500
1643VF,191000,0,0,191000
1644VF,191500,0,0,191500
1645VF,192000,0,0,192000
1646VF,192500,0,0,192500
1647VF,193000,0,0,193000
1648VF,193500,0,0,193500
1649VF,194000,0,0,194000
1650VF,194500,0,0,194500
1651VF,195000,0,0,195000
1652VF,195500,0,0,195500
1653VF,196000,0,0,196000
1654VF,196500,0,0,196500
1655VF,197000,0,0,197000
1656VF,197500,0,0,197500
1657VF,198000,0,0,198000
1658VF,198500,0,0,198500
1659VF,199000,0,0,199000
1660VF,199500,0,0,199500
1661VF,200000,0,0,200000
