Scale No,InitialBasic,HouseRent,Medical,Special,Allowances,GrossPay,IsAdhoc,Effect From,Department,Active Status
330DOM,18780,7512,1878,,9390,28169,False,01/09/2023,Domestic,Inactive
331DOM,19343,7737,1934,,9671,29014,False,01/09/2023,Domestic,Inactive
268ACDH,52500,0,0,0,0,52500,True,01/09/2023,Academic,Active
269ACDH,54000,0,0,0,0,54000,True,01/09/2023,Academic,Active
332DOM,19923,7969,1992,,9961,29885,False,01/09/2023,Domestic,Inactive
333DOM,20521,8208,2052,,10260,30781,False,01/09/2023,Domestic,Inactive
270ACDH,55500,0,0,0,0,55500,True,01/09/2023,Academic,Active
334DOM,21137,8455,2114,,10569,31705,False,01/09/2023,Domestic,Inactive
271ACDH,57000,0,0,0,0,57000,True,01/09/2023,Academic,Active
335DOM,21771,8708,2177,,10885,32656,False,01/09/2023,Domestic,Inactive
272ACDH,58500,0,0,0,0,58500,True,01/09/2023,Academic,Active
336DOM,22424,8970,2242,,11212,33636,False,01/09/2023,Domestic,Inactive
273ACDH,60000,0,0,0,0,60000,True,01/09/2023,Academic,Active
337DOM,23097,9239,2310,,11549,34645,False,01/09/2023,Domestic,Inactive
274ACDH,61500,0,0,0,0,61500,True,01/09/2023,Academic,Active
338DOM,23789,9516,2379,,11895,35684,False,01/09/2023,Domestic,Inactive
339DOM,24503,9801,2450,,12251,36755,False,01/09/2023,Domestic,Inactive
275ACDH,63000,0,0,0,0,63000,True,01/09/2023,Academic,Active
340DOM,25238,10095,2524,,12619,37857,False,01/09/2023,Domestic,Inactive
276ACDH,64500,0,0,0,0,64500,True,01/09/2023,Academic,Active
277ACDH,66000,0,0,0,0,66000,True,01/09/2023,Academic,Active
278ACDH,67500,0,0,0,0,67500,True,01/09/2023,Academic,Active
341DOM,25995,10398,2600,,12998,38993,False,01/09/2023,Domestic,Inactive
342DOM,26775,10710,2678,,13388,40163,False,01/09/2023,Domestic,Inactive
343DOM,27578,11031,2758,,13789,41368,False,01/09/2023,Domestic,Inactive
344DOM,28406,11362,2841,,14203,42609,False,01/09/2023,Domestic,Inactive
279ACDH,69000,0,0,0,0,69000,True,01/09/2023,Academic,Active
345DOM,29258,11703,2926,,14629,43887,False,01/09/2023,Domestic,Inactive
346DOM,30136,12054,3014,,15068,45204,False,01/09/2023,Domestic,Inactive
347DOM,31040,12416,3104,,15520,46560,False,01/09/2023,Domestic,Inactive
348DOM,31971,12788,3197,,15985,47957,False,01/09/2023,Domestic,Inactive
280ACDH,70500,0,0,0,0,70500,True,01/09/2023,Academic,Active
349DOM,32930,13172,3293,,16465,49395,False,01/09/2023,Domestic,Inactive
281ACDH,72000,0,0,0,0,72000,True,01/09/2023,Academic,Active
282ACDH,73500,0,0,0,0,73500,True,01/09/2023,Academic,Active
350DOM,33918,13567,3392,,16959,50877,False,01/09/2023,Domestic,Inactive
283ACDH,75000,0,0,0,0,75000,True,01/09/2023,Academic,Active
351DOM,34936,13974,3494,,17468,52403,False,01/09/2023,Domestic,Inactive
284ACDH,76500,0,0,0,0,76500,True,01/09/2023,Academic,Active
285ACDH,78000,0,0,0,0,78000,True,01/09/2023,Academic,Active
286ACDH,79500,0,0,0,0,79500,True,01/09/2023,Academic,Active
287ACDH,81000,0,0,0,0,81000,True,01/09/2023,Academic,Active
288ACDH,82500,0,0,0,0,82500,True,01/09/2023,Academic,Active
289ACDH,84000,0,0,0,0,84000,True,01/09/2023,Academic,Active
290ACDH,85500,0,0,0,0,85500,True,01/09/2023,Academic,Active
291ACDH,87000,0,0,0,0,87000,True,01/09/2023,Academic,Active
292ACDH,88500,0,0,0,0,88500,True,01/09/2023,Academic,Active
293ACDH,90000,0,0,0,0,90000,True,01/09/2023,Academic,Active
208ADM,102397,40959,10240,0,51199,153596,False,01/09/2023,Administration,Active
209ADM,105469,42188,10547,0,52735,158204,False,01/09/2023,Administration,Active
210ADM,108633,43453,10863,0,54316,162950,False,01/09/2023,Administration,Active
294ACDH,91500,0,0,0,0,91500,True,01/09/2023,Academic,Active
211ADM,111892,44757,11189,0,55946,167839,False,01/09/2023,Administration,Active
212ADM,115249,46100,11525,0,57625,172874,False,01/09/2023,Administration,Active
213ADM,118707,47483,11871,0,59354,178060,False,01/09/2023,Administration,Active
214ADM,122268,48907,12227,0,61134,183402,False,01/09/2023,Administration,Active
215ADM,125936,50374,12594,0,62968,188904,False,01/09/2023,Administration,Active
216ADM,129714,51886,12971,0,64857,194571,False,01/09/2023,Administration,Active
217ADM,133605,53442,13361,0,66803,200408,False,01/09/2023,Administration,Active
218ADM,137613,55045,13761,0,68806,206420,False,01/09/2023,Administration,Active
295ACDH,93000,0,0,0,0,93000,True,01/09/2023,Academic,Active
219ADM,141742,56697,14174,0,70871,212613,False,01/09/2023,Administration,Active
296ACDH,94500,0,0,0,0,94500,True,01/09/2023,Academic,Active
297ACDH,96000,0,0,0,0,96000,True,01/09/2023,Academic,Active
220ADM,145994,58398,14599,0,72997,218991,False,01/09/2023,Administration,Active
221ADM,150374,60150,15037,0,75187,225561,False,01/09/2023,Administration,Active
222ADM,154885,61954,15489,0,77443,232328,False,01/09/2023,Administration,Active
298ACDH,97500,0,0,0,0,97500,True,01/09/2023,Academic,Active
223ADM,159532,63813,15953,0,79766,239298,False,01/09/2023,Administration,Active
224ADM,164318,65727,16432,0,82159,246477,False,01/09/2023,Administration,Active
299ACDH,99000,0,0,0,0,99000,True,01/09/2023,Academic,Active
300ACDH,100500,0,0,0,0,100500,True,01/09/2023,Academic,Active
225ADM,169247,67699,16925,0,84624,253871,False,01/09/2023,Administration,Active
301ACDH,102000,0,0,0,0,102000,True,01/09/2023,Academic,Active
302ACDH,103500,0,0,0,0,103500,True,01/09/2023,Academic,Active
303ACDH,105000,0,0,0,0,105000,True,01/09/2023,Academic,Active
226ADM,174325,69730,17432,0,87162,261487,False,01/09/2023,Administration,Active
304ACDH,106500,0,0,0,0,106500,True,01/09/2023,Academic,Active
227ADM,179554,71822,17955,0,89777,269332,False,01/09/2023,Administration,Active
228ADM,184941,73976,18494,0,92470,277412,False,01/09/2023,Administration,Active
229ADM,190489,76196,19049,0,95245,285734,False,01/09/2023,Administration,Active
230ADM,196204,78482,19620,0,98102,294306,False,01/09/2023,Administration,Active
231ADM,202090,80836,20209,0,101045,303135,False,01/09/2023,Administration,Active
232ADM,208153,83261,20815,0,104076,312229,False,01/09/2023,Administration,Active
305ACDH,108000,0,0,0,0,108000,True,01/09/2023,Academic,Active
306ACDH,109500,0,0,0,0,109500,True,01/09/2023,Academic,Active
307ACDH,111000,0,0,0,0,111000,True,01/09/2023,Academic,Active
308ACDH,112500,0,0,0,0,112500,True,01/09/2023,Academic,Active
309ACDH,114000,0,0,0,0,114000,True,01/09/2023,Academic,Active
310ACDH,115500,0,0,0,0,115500,True,01/09/2023,Academic,Active
233ADM,214397,85759,21440,0,107199,321596,False,01/09/2023,Administration,Active
0,0,0,0,0,0,0,False,01/09/2023,Administration,Inactive
311ACDH,117000,0,0,0,0,117000,True,01/09/2023,Academic,Active
312ACDH,118500,0,0,0,0,118500,True,01/09/2023,Academic,Active
313ACDH,120000,0,0,0,0,120000,True,01/09/2023,Academic,Active
314ACDH,121500,0,0,0,0,121500,True,01/09/2023,Academic,Active
315ACDH,123000,0,0,0,0,123000,True,01/09/2023,Academic,Active
316ACDH,124500,0,0,0,0,124500,True,01/09/2023,Academic,Active
317ACDH,126000,0,0,0,0,126000,True,01/09/2023,Academic,Active
318ACDH,127500,0,0,0,0,127500,True,01/09/2023,Academic,Active
319ACDH,129000,0,0,0,0,129000,True,01/09/2023,Academic,Active
320ACDH,130500,0,0,0,0,130500,True,01/09/2023,Academic,Active
366DOMH,15000,0,0,0,0,15000,True,01/09/2023,Domestic,Active
321ACDH,132000,0,0,0,0,132000,True,01/09/2023,Academic,Active
322ACDH,133500,0,0,0,0,133500,True,01/09/2023,Academic,Active
367DOMH,15300,0,0,0,0,15300,True,01/09/2023,Domestic,Active
323ACDH,135000,0,0,0,0,135000,True,01/09/2023,Academic,Active
368DOMH,15600,0,0,0,0,15600,True,01/09/2023,Domestic,Active
324ACDH,136500,0,0,0,0,136500,True,01/09/2023,Academic,Active
369DOMH,15900,0,0,0,0,15900,True,01/09/2023,Domestic,Active
325ACDH,138000,0,0,0,0,138000,True,01/09/2023,Academic,Active
370DOMH,16200,0,0,0,0,16200,True,01/09/2023,Domestic,Active
326ACDH,139500,0,0,0,0,139500,True,01/09/2023,Academic,Active
371DOMH,16500,0,0,0,0,16500,True,01/09/2023,Domestic,Active
327ACDH,141000,0,0,0,0,141000,True,01/09/2023,Academic,Active
372DOMH,16800,0,0,0,0,16800,True,01/09/2023,Domestic,Active
0,0,0,0,0,0,,True,01/09/2023,Academic,Inactive
373DOMH,17100,0,0,0,0,17100,True,01/09/2023,Domestic,Active
374DOMH,17400,0,0,0,0,17400,True,01/09/2023,Domestic,Active
375DOMH,17700,0,0,0,0,17700,True,01/09/2023,Domestic,Active
376DOMH,18000,0,0,0,0,18000,True,01/09/2023,Domestic,Active
377DOMH,18300,0,0,0,0,18300,True,01/09/2023,Domestic,Active
0,0,0,0,0,0,0,True,01/09/2023,Academic,Inactive
378DOMH,18600,0,0,0,0,18600,True,01/09/2023,Domestic,Active
379DOMH,18900,0,0,0,0,18900,True,01/09/2023,Domestic,Active
380DOMH,19200,0,0,0,0,19200,True,01/09/2023,Domestic,Active
381DOMH,19500,0,0,0,0,19500,True,01/09/2023,Domestic,Active
382DOMH,19800,0,0,0,0,19800,True,01/09/2023,Domestic,Active
383DOMH,20100,0,0,0,0,20100,True,01/09/2023,Domestic,Active
384DOMH,20400,0,0,0,0,20400,True,01/09/2023,Domestic,Active
385DOMH,20700,0,0,0,0,20700,True,01/09/2023,Domestic,Active
5ACD,10083,4033,1008,0,5041,15125,False,01/09/2023,Academic,Active
6ACD,10285,4114,1029,0,5143,15428,False,01/09/2023,Academic,Active
7ACD,10491,4196,1049,0,5245,15736,False,01/09/2023,Academic,Active
8ACD,10701,4280,1070,0,5350,16051,False,01/09/2023,Academic,Active
9ACD,10915,4366,1091,0,5457,16372,False,01/09/2023,Academic,Active
10ACD,11133,4453,1113,0,5566,16699,False,01/09/2023,Academic,Active
11ACD,11356,4542,1136,0,5678,17033,False,01/09/2023,Academic,Active
12ACD,11583,4633,1158,0,5791,17374,False,01/09/2023,Academic,Active
13ACD,11814,4726,1181,0,5907,17722,False,01/09/2023,Academic,Active
14ACD,12051,4820,1205,0,6025,18076,False,01/09/2023,Academic,Active
15ACD,12292,4917,1229,0,6146,18437,False,01/09/2023,Academic,Active
0,0,0,0,0,0,0,True,01/09/2023,Academic,Inactive
16ACD,12537,5015,1254,0,6269,18806,False,01/09/2023,Academic,Active
17ACD,12788,5115,1279,0,6394,19182,False,01/09/2023,Academic,Active
18ACD,13044,5218,1304,0,6522,19566,False,01/09/2023,Academic,Active
19ACD,13305,5322,1330,0,6652,19957,False,01/09/2023,Academic,Active
20ACD,13571,5428,1357,0,6785,20356,False,01/09/2023,Academic,Active
21ACD,13842,5537,1384,0,6921,20764,False,01/09/2023,Academic,Active
22ACD,14119,5648,1412,0,7060,21179,False,01/09/2023,Academic,Active
23ACD,14402,5761,1440,0,7201,21602,False,01/09/2023,Academic,Active
24ACD,14690,5876,1469,0,7345,22034,False,01/09/2023,Academic,Active
25ACD,14983,5993,1498,0,7491,22475,False,01/09/2023,Academic,Active
26ACD,15283,6113,1528,0,7641,22925,False,01/09/2023,Academic,Active
27ACD,15589,6236,1559,0,7795,23383,False,01/09/2023,Academic,Active
28ACD,15901,6360,1590,0,7950,23851,False,01/09/2023,Academic,Active
29ACD,16219,6487,1622,0,8109,24328,False,01/09/2023,Academic,Active
30ACD,16543,6617,1654,0,8271,24814,False,01/09/2023,Academic,Active
31ACD,16874,6750,1687,0,8437,25311,False,01/09/2023,Academic,Active
32ACD,17211,6885,1721,0,8606,25817,False,01/09/2023,Academic,Active
33ACD,17556,7022,1756,0,8778,26333,False,01/09/2023,Academic,Active
34ACD,17907,7163,1791,0,8954,26860,False,01/09/2023,Academic,Active
35ACD,18265,7306,1826,0,9132,27397,False,01/09/2023,Academic,Active
36ACD,18630,7452,1863,0,9315,27945,False,01/09/2023,Academic,Active
37ACD,19003,7601,1900,0,9501,28504,False,01/09/2023,Academic,Active
38ACD,19383,7753,1938,0,9691,29074,False,01/09/2023,Academic,Active
39ACD,19770,7908,1977,0,9885,29656,False,01/09/2023,Academic,Active
40ACD,20166,8066,2017,0,10083,30249,False,01/09/2023,Academic,Active
41ACD,20569,8228,2057,0,10285,30854,False,01/09/2023,Academic,Active
42ACD,20980,8392,2098,0,10490,31471,False,01/09/2023,Academic,Active
43ACD,21400,8560,2140,0,10700,32100,False,01/09/2023,Academic,Active
44ACD,21828,8731,2183,0,10914,32742,False,01/09/2023,Academic,Active
45ACD,22265,8906,2226,0,11132,33397,False,01/09/2023,Academic,Active
46ACD,22710,9084,2271,0,11355,34065,False,01/09/2023,Academic,Active
47ACD,23164,9266,2316,0,11582,34746,False,01/09/2023,Academic,Active
48ACD,23627,9451,2363,0,11814,35441,False,01/09/2023,Academic,Active
49ACD,24100,9640,2410,0,12050,36150,False,01/09/2023,Academic,Active
50ACD,24582,9833,2458,0,12291,36873,False,01/09/2023,Academic,Active
51ACD,25074,10029,2507,0,12536,37610,False,01/09/2023,Academic,Active
52ACD,25575,10230,2558,0,12788,38363,False,01/09/2023,Academic,Active
53ACD,26087,10435,2609,0,13044,39130,False,01/09/2023,Academic,Active
54ACD,26608,10643,2661,0,13304,39912,False,01/09/2023,Academic,Active
55ACD,27140,10856,2714,0,13570,40711,False,01/09/2023,Academic,Active
56ACD,27683,11073,2768,0,13841,41525,False,01/09/2023,Academic,Active
57ACD,28237,11295,2824,0,14119,42355,False,01/09/2023,Academic,Active
58ACD,28802,11521,2880,0,14401,43202,False,01/09/2023,Academic,Active
59ACD,29378,11751,2938,0,14689,44067,False,01/09/2023,Academic,Active
60ACD,29965,11986,2997,0,14983,44948,False,01/09/2023,Academic,Active
61ACD,30565,12226,3056,0,15282,45847,False,01/09/2023,Academic,Active
62ACD,31176,12470,3118,0,15588,46764,False,01/09/2023,Academic,Active
63ACD,31799,12720,3180,0,15900,47699,False,01/09/2023,Academic,Active
64ACD,32435,12974,3244,0,16218,48653,False,01/09/2023,Academic,Active
65ACD,33084,13234,3308,0,16542,49626,False,01/09/2023,Academic,Active
66ACD,33746,13498,3375,0,16873,50619,False,01/09/2023,Academic,Active
67ACD,34421,13768,3442,0,17210,51631,False,01/09/2023,Academic,Active
68ACD,35109,14044,3511,0,17555,52664,False,01/09/2023,Academic,Active
69ACD,35811,14324,3581,0,17905,53717,False,01/09/2023,Academic,Active
70ACD,36527,14611,3653,0,18264,54791,False,01/09/2023,Academic,Active
71ACD,37258,14903,3726,0,18629,55887,False,01/09/2023,Academic,Active
72ACD,38003,15201,3800,0,19001,57005,False,01/09/2023,Academic,Active
73ACD,38763,15505,3876,0,19381,58145,False,01/09/2023,Academic,Active
74ACD,39539,15815,3954,0,19769,59308,False,01/09/2023,Academic,Active
75ACD,40329,16132,4033,0,20165,60494,False,01/09/2023,Academic,Active
76ACD,41136,16454,4114,0,20568,61704,False,01/09/2023,Academic,Active
77ACD,41959,16783,4196,0,20979,62938,False,01/09/2023,Academic,Active
78ACD,42798,17119,4280,0,21399,64197,False,01/09/2023,Academic,Active
79ACD,43654,17461,4365,0,21826,65481,False,01/09/2023,Academic,Active
80ACD,44527,17811,4453,0,22264,66790,False,01/09/2023,Academic,Active
81ACD,45417,18167,4542,0,22709,68126,False,01/09/2023,Academic,Active
82ACD,46326,18530,4633,0,23163,69488,False,01/09/2023,Academic,Active
83ACD,47252,18901,4725,0,23626,70878,False,01/09/2023,Academic,Active
84ACD,48197,19279,4820,0,24099,72296,False,01/09/2023,Academic,Active
85ACD,49161,19664,4916,0,24580,73742,False,01/09/2023,Academic,Active
86ACD,50144,20058,5014,0,25072,75217,False,01/09/2023,Academic,Active
87ACD,51147,20459,5115,0,25574,76721,False,01/09/2023,Academic,Active
88ACD,52170,20868,5217,0,26085,78255,False,01/09/2023,Academic,Active
89ACD,53214,21285,5321,0,26606,79820,False,01/09/2023,Academic,Active
90ACD,54278,21711,5428,0,27139,81417,False,01/09/2023,Academic,Active
91ACD,55363,22145,5536,0,27681,83045,False,01/09/2023,Academic,Active
92ACD,56471,22588,5647,0,28235,84706,False,01/09/2023,Academic,Active
93ACD,57600,23040,5760,0,28800,86400,False,01/09/2023,Academic,Active
94ACD,58752,23501,5875,0,29376,88128,False,01/09/2023,Academic,Active
95ACD,59927,23971,5993,0,29964,89891,False,01/09/2023,Academic,Active
96ACD,61126,24450,6113,0,30563,91689,False,01/09/2023,Academic,Active
97ACD,62348,24939,6235,0,31174,93522,False,01/09/2023,Academic,Active
98ACD,63595,25438,6360,0,31798,95393,False,01/09/2023,Academic,Active
99ACD,64867,25947,6487,0,32434,97301,False,01/09/2023,Academic,Active
100ACD,66164,26466,6616,0,33082,99247,False,01/09/2023,Academic,Active
101ACD,67488,26995,6749,0,33744,101232,False,01/09/2023,Academic,Active
102ACD,68838,27535,6884,0,34419,103256,False,01/09/2023,Academic,Active
103ACD,70214,28086,7021,0,35107,105321,False,01/09/2023,Academic,Active
104ACD,71619,28647,7162,0,35809,107428,False,01/09/2023,Academic,Active
105ACD,73051,29220,7305,0,36525,109576,False,01/09/2023,Academic,Active
106ACD,74512,29805,7451,0,37256,111768,False,01/09/2023,Academic,Active
107ACD,76002,30401,7600,0,38001,114003,False,01/09/2023,Academic,Active
108ACD,77522,31009,7752,0,38761,116283,False,01/09/2023,Academic,Active
109ACD,79073,31629,7907,0,39536,118609,False,01/09/2023,Academic,Active
110ACD,80654,32262,8065,0,40327,120981,False,01/09/2023,Academic,Active
111ACD,82267,32907,8227,0,41134,123401,False,01/09/2023,Academic,Active
112ACD,83913,33565,8391,0,41956,125869,False,01/09/2023,Academic,Active
113ACD,85591,34236,8559,0,42795,128386,False,01/09/2023,Academic,Active
114ACD,87303,34921,8730,0,43651,130954,False,01/09/2023,Academic,Active
115ACD,89049,35619,8905,0,44524,133573,False,01/09/2023,Academic,Active
116ACD,90830,36332,9083,0,45415,136244,False,01/09/2023,Academic,Active
117ACD,92646,37058,9265,0,46323,138969,False,01/09/2023,Academic,Active
118ACD,94499,37800,9450,0,47250,141749,False,01/09/2023,Academic,Active
119ACD,96389,38556,9639,0,48195,144584,False,01/09/2023,Academic,Active
120ACD,98317,39327,9832,0,49159,147475,False,01/09/2023,Academic,Active
121ACD,100283,40113,10028,0,50141,150425,False,01/09/2023,Academic,Active
122ACD,102289,40916,10229,0,51145,153433,False,01/09/2023,Academic,Active
123ACD,104335,41734,10433,0,52167,156502,False,01/09/2023,Academic,Active
124ACD,106421,42569,10642,0,53211,159632,False,01/09/2023,Academic,Active
125ACD,108550,43420,10855,0,54275,162825,False,01/09/2023,Academic,Active
126ACD,110721,44288,11072,0,55360,166081,False,01/09/2023,Academic,Active
127ACD,112935,45174,11294,0,56468,169403,False,01/09/2023,Academic,Active
128ACD,115194,46078,11519,0,57597,172791,False,01/09/2023,Academic,Active
129ACD,117498,46999,11750,0,58749,176247,False,01/09/2023,Academic,Active
130ACD,119848,47939,11985,0,59924,179772,False,01/09/2023,Academic,Active
131ACD,122245,48898,12224,0,61122,183367,False,01/09/2023,Academic,Active
132ACD,124690,49876,12469,0,62345,187034,False,01/09/2023,Academic,Active
133ACD,127183,50873,12718,0,63591,190775,False,01/09/2023,Academic,Active
134ACD,129727,51891,12973,0,64864,194591,False,01/09/2023,Academic,Active
135ACD,132322,52929,13232,0,66161,198482,False,01/09/2023,Academic,Active
136ACD,134968,53987,13497,0,67484,202452,False,01/09/2023,Academic,Active
137ACD,137667,55067,13767,0,68834,206501,False,01/09/2023,Academic,Active
138ACD,140421,56168,14042,0,70210,210631,False,01/09/2023,Academic,Active
139ACD,143229,57292,14323,0,71615,214844,False,01/09/2023,Academic,Active
140ACD,146094,58437,14609,0,73046,219141,False,01/09/2023,Academic,Active
141ACD,149016,59606,14902,0,74508,223523,False,01/09/2023,Academic,Active
142ACD,151996,60798,15200,0,75998,227994,False,01/09/2023,Academic,Active
143ACD,155036,62014,15504,0,77518,232554,False,01/09/2023,Academic,Active
144ACD,158137,63255,15814,0,79069,237205,False,01/09/2023,Academic,Active
145ACD,161299,64520,16130,0,80650,241949,False,01/09/2023,Academic,Active
146ACD,164525,65810,16453,0,82263,246788,False,01/09/2023,Academic,Active
388ADMH,21000,0,0,0,0,21000,True,01/09/2023,Administration,Active
389ADMH,21600,0,0,0,0,21600,True,01/09/2023,Administration,Active
390ADMH,22200,0,0,0,0,22200,True,01/09/2023,Administration,Active
391ADMH,22800,0,0,0,0,22800,True,01/09/2023,Administration,Active
392ADMH,23400,0,0,0,0,23400,True,01/09/2023,Administration,Active
393ADMH,24000,0,0,0,0,24000,True,01/09/2023,Administration,Active
394ADMH,24600,0,0,0,0,24600,True,01/09/2023,Administration,Active
395ADMH,25200,0,0,0,0,25200,True,01/09/2023,Administration,Active
396ADMH,25800,0,0,0,0,25800,True,01/09/2023,Administration,Active
397ADMH,26400,0,0,0,0,26400,True,01/09/2023,Administration,Active
398ADMH,27000,0,0,0,0,27000,True,01/09/2023,Administration,Active
399ADMH,27600,0,0,0,0,27600,True,01/09/2023,Administration,Active
400ADMH,28200,0,0,0,0,28200,True,01/09/2023,Administration,Active
401ADMH,28800,0,0,0,0,28800,True,01/09/2023,Administration,Active
402ADMH,29400,0,0,0,0,29400,True,01/09/2023,Administration,Active
403ADMH,30000,0,0,0,0,30000,True,01/09/2023,Administration,Active
404ADMH,30600,0,0,0,0,30600,True,01/09/2023,Administration,Active
405ADMH,31200,0,0,0,0,31200,True,01/09/2023,Administration,Active
406ADMH,31800,0,0,0,0,31800,True,01/09/2023,Administration,Active
407ADMH,32400,0,0,0,0,32400,True,01/09/2023,Administration,Active
408ADMH,33000,0,0,0,0,33000,True,01/09/2023,Administration,Active
409ADMH,33600,0,0,0,0,33600,True,01/09/2023,Administration,Active
410ADMH,34200,0,0,0,0,34200,True,01/09/2023,Administration,Active
411ADMH,34800,0,0,0,0,34800,True,01/09/2023,Administration,Active
412ADMH,35400,0,0,0,0,35400,True,01/09/2023,Administration,Active
413ADMH,36000,0,0,0,0,36000,True,01/09/2023,Administration,Active
414ADMH,36600,0,0,0,0,36600,True,01/09/2023,Administration,Active
415ADMH,37200,0,0,0,0,37200,True,01/09/2023,Administration,Active
416ADMH,37800,0,0,0,0,37800,True,01/09/2023,Administration,Active
417ADMH,38400,0,0,0,0,38400,True,01/09/2023,Administration,Active
418ADMH,39000,0,0,0,0,39000,True,01/09/2023,Administration,Active
419ADMH,39600,0,0,0,0,39600,True,01/09/2023,Administration,Active
420ADMH,40200,0,0,0,0,40200,True,01/09/2023,Administration,Active
421ADMH,40800,0,0,0,0,40800,True,01/09/2023,Administration,Active
422ADMH,41400,0,0,0,0,41400,True,01/09/2023,Administration,Active
423ADMH,42000,0,0,0,0,42000,True,01/09/2023,Administration,Active
424ADMH,42600,0,0,0,0,42600,True,01/09/2023,Accounts,Active
425ADMH,43200,0,0,0,0,43200,True,01/09/2023,Administration,Active
426ADMH,43800,0,0,0,0,43800,True,01/09/2023,Administration,Active
427ADMH,44400,0,0,0,0,44400,True,01/09/2023,Accounts,Active
428ADMH,45000,0,0,0,0,45000,True,01/09/2023,Administration,Active
429ADMH,45600,0,0,0,0,45600,True,01/09/2023,Administration,Active
430ADMH,46200,0,0,0,0,46200,True,01/09/2023,Administration,Active
431ADMH,46800,0,0,0,0,46800,True,01/09/2023,Administration,Active
432ADMH,47400,0,0,0,0,47400,True,01/09/2023,Administration,Active
433ADMH,48000,0,0,0,0,48000,True,01/09/2023,Administration,Active
434ADMH,48600,0,0,0,0,48600,True,01/09/2023,Administration,Active
435ADMH,49200,0,0,0,0,49200,True,01/09/2023,Administration,Active
436ADMH,49800,0,0,0,0,49800,True,01/09/2023,Administration,Active
437ADMH,50400,0,0,0,0,50400,True,01/09/2023,Administration,Active
438ADMH,51000,0,0,0,0,51000,True,01/09/2023,Administration,Active
439ADMH,51600,0,0,0,0,51600,True,01/09/2023,Administration,Active
440ADMH,52200,0,0,0,0,52200,True,01/09/2023,Administration,Active
441ADMH,52800,0,0,0,0,52800,True,01/09/2023,Administration,Active
442ADMH,53400,0,0,0,0,53400,True,01/09/2023,Administration,Active
443ADMH,54000,0,0,0,0,54000,True,01/09/2023,Administration,Active
444ADMH,54600,0,0,0,0,54600,True,01/09/2023,Administration,Active
445ADMH,55200,0,0,0,0,55200,True,01/09/2023,Administration,Active
446ADMH,55800,0,0,0,0,55800,True,01/09/2023,Administration,Active
447ADMH,56400,0,0,0,0,56400,True,01/09/2023,Administration,Active
448ADMH,57000,0,0,0,0,57000,True,01/09/2023,Administration,Active
449ADMH,57600,0,0,0,0,57600,True,01/09/2023,Administration,Active
1112MNG,56001,22400,5600,0,28000,84002,False,01/09/2023,Management,Active
1113MNG,57681,23072,5768,0,28840,86522,False,01/09/2023,Management,Active
1114MNG,59411,23765,5941,0,29706,89117,False,01/09/2023,Management,Active
1115MNG,61194,24478,6119,0,30597,91791,False,01/09/2023,Management,Active
1116MNG,63030,25212,6303,0,31515,94544,False,01/09/2023,Management,Active
1117MNG,64921,25968,6492,0,32460,97381,False,01/09/2023,Management,Active
1118MNG,66868,26747,6687,0,33434,100302,False,01/09/2023,Management,Active
1119MNG,68874,27550,6887,0,34437,103311,False,01/09/2023,Management,Active
1120MNG,70940,28376,7094,0,35470,106411,False,01/09/2023,Management,Active
1121MNG,73069,29227,7307,0,36534,109603,False,01/09/2023,Management,Active
1122MNG,75261,30104,7526,0,37630,112891,False,01/09/2023,Management,Active
264ACDH,46500,0,0,0,0,46500,True,01/09/2023,Academic,Active
330DOM,12788,5115,1279,0,6394,19182,False,01/09/2023,Domestic,Active
331DOM,13172,5269,1317,0,6586,19757,False,01/09/2023,Domestic,Active
332DOM,13567,5427,1357,0,6784,20350,False,01/09/2023,Domestic,Active
333DOM,13974,5590,1397,0,6987,20961,False,01/09/2023,Domestic,Active
334DOM,14393,5757,1439,0,7196,21590,False,01/09/2023,Domestic,Active
335DOM,14825,5930,1482,0,7412,22237,False,01/09/2023,Domestic,Active
336DOM,15270,6108,1527,0,7635,22904,False,01/09/2023,Domestic,Active
337DOM,15728,6291,1573,0,7864,23591,False,01/09/2023,Domestic,Active
338DOM,16199,6480,1620,0,8100,24299,False,01/09/2023,Domestic,Active
339DOM,16685,6674,1669,0,8343,25028,False,01/09/2023,Domestic,Active
340DOM,17186,6874,1719,0,8593,25779,False,01/09/2023,Domestic,Active
341DOM,17702,7081,1770,0,8851,26552,False,01/09/2023,Domestic,Active
342DOM,18233,7293,1823,0,9116,27349,False,01/09/2023,Domestic,Active
343DOM,18780,7512,1878,0,9390,28169,False,01/09/2023,Domestic,Active
344DOM,19343,7737,1934,0,9671,29014,False,01/09/2023,Domestic,Active
345DOM,19923,7969,1992,0,9961,29885,False,01/09/2023,Domestic,Active
346DOM,20521,8208,2052,0,10260,30781,False,01/09/2023,Domestic,Active
347DOM,21137,8455,2114,0,10569,31705,False,01/09/2023,Domestic,Active
348DOM,21771,8708,2177,0,10885,32656,False,01/09/2023,Domestic,Active
349DOM,22424,8970,2242,0,11212,33636,False,01/09/2023,Domestic,Active
350DOM,23097,9239,2310,0,11549,34645,False,01/09/2023,Domestic,Active
351DOM,23789,9516,2379,0,11895,35684,False,01/09/2023,Domestic,Active
352DOM,24503,9801,2450,0,12251,36755,False,01/09/2023,Domestic,Active
353DOM,25238,10095,2524,0,12619,37857,False,01/09/2023,Domestic,Active
